State,Gender,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,Areas,Sales Channel,Vehicle Size
Oregon,M,College,"œ13,235.54",39778,112,1/0,Personal Auto,SUV,806.40,north,Agent,Small
Oregon,F,High School or Below,"œ3,744.58",0,101,1/0,Personal Auto,SUV,727.20,north,Agent,Medsize
Oregon,F,College,"œ28,486.07",91871,102,1/0,Personal Auto,SUV,346.85,north,Branch,Medsize
Nevada,M,Bachelor,"œ2,644.68",54000,66,1/0,Corporate Auto,Two-Door Car,373.88,central ,Branch,Medsize
Oregon,M,Doctor,"œ5,073.28",57709,125,1/0,Personal Auto,SUV,600.00,north,Agent,Small
Arizona,F,High School or Below,"œ4,272.59",81132,107,1/0,Corporate Auto,SUV,419.11,central ,Agent,Medsize
California,M,College,"œ11,003.02",22926,93,1/0,Corporate Auto,Four-Door Car,479.93,west ,Branch,Small
Arizona,F,College,"œ14,181.64",0,72,2/1,Personal Auto,Four-Door Car,345.60,central ,Call Center,Medsize
Washington,M,Bachelor,"œ5,548.03",67798,69,1/0,Personal Auto,Four-Door Car,331.20,east,Call Center,Medsize
Oregon,M,Bachelor,"œ11,077.69",78011,138,1/0,Personal Auto,SUV,619.70,north,Agent,Medsize
Oregon,M,College,"œ2,435.69",32931,62,1/0,Personal Auto,Four-Door Car,297.60,north,Web,Medsize
California,F,Bachelor,"œ8,743.85",99517,109,1/0,Personal Auto,Four-Door Car,239.91,west ,Agent,Medsize
Arizona,M,Bachelor,"œ2,409.76",59665,62,1/1,Personal Auto,Two-Door Car,167.14,central ,Web,Medsize
Washington,F,High School or Below,"œ5,500.01",86073,136,1/0,Corporate Auto,Sports Car,333.57,east,Call Center,Large
Arizona,F,High School or Below,"œ8,528.29",91099,107,1/0,Corporate Auto,SUV,406.43,central ,Agent,Medsize
Oregon,M,College,"œ3,592.00",28013,91,1/0,Personal Auto,Four-Door Car,655.20,north,Branch,Medsize
Nevada,F,High School or Below,"œ8,539.83",55478,71,1/0,Personal Auto,Two-Door Car,339.40,central ,Call Center,Medsize
Nevada,F,College,"œ6,990.92",22568,88,1/0,Corporate Auto,Four-Door Car,422.40,central ,Branch,Small
California,F,High School or Below,"œ3,979.39",0,112,1/0,Personal Auto,SUV,806.40,west ,Agent,Small
Arizona,M,High School or Below,"œ23,950.37",39335,201,1/0,Corporate Auto,Luxury SUV,964.80,central ,Agent,Medsize
Oregon,F,College,"œ2,321.05",0,66,1/0,Personal Auto,Two-Door Car,508.70,north,Web,Medsize
Oregon,M,College,"œ5,087.02",0,72,1/0,Personal Auto,Four-Door Car,345.60,north,Agent,Medsize
Oregon,M,College,"œ4,362.93",58842,110,1/0,Personal Auto,Four-Door Car,528.00,north,Agent,Medsize
Oregon,F,Bachelor,"œ7,457.47",0,69,1/0,Personal Auto,Four-Door Car,678.21,north,Web,Medsize
Oregon,M,College,"œ7,027.76",0,102,1/0,Personal Auto,SUV,489.60,north,Web,Large
Oregon,F,Bachelor,"œ2,831.68",70037,70,1/0,Personal Auto,Four-Door Car,409.99,north,Web,Medsize
Nevada,M,High School or Below,"œ4,217.86",0,62,1/0,Personal Auto,Two-Door Car,446.40,central ,Call Center,Large
Nevada,M,College,"œ7,596.29",59847,192,1/0,Corporate Auto,Luxury Car,921.60,central ,Agent,Small
California,M,Bachelor,"œ8,365.68",26630,118,1/0,Personal Auto,Four-Door Car,581.08,west ,Agent,Large
Oregon,F,High School or Below,"œ2,726.39",48039,68,1/0,Personal Auto,Four-Door Car,11.45,north,Agent,Small
California,M,High School or Below,"œ3,420.45",0,92,1/0,Personal Auto,Four-Door Car,441.60,west ,Web,Medsize
Arizona,M,High School or Below,"œ4,839.11",0,137,1/0,Personal Auto,SUV,1227.46,central ,Call Center,Medsize
Arizona,F,Bachelor,"œ4,358.55",0,118,1/0,Corporate Auto,Sports Car,101.83,central ,Call Center,Medsize
Washington,F,Master,"œ12,427.39",15818,107,1/0,Personal Auto,Two-Door Car,333.89,east,Agent,Medsize
Oregon,F,Doctor,"œ23,515.85",36537,85,1/0,Personal Auto,Four-Door Car,165.31,north,Call Center,Medsize
Arizona,F,Master,"œ8,396.33",0,115,1/1,Personal Auto,SUV,552.00,central ,Web,Medsize
Arizona,M,High School or Below,"œ5,170.98",53603,132,1/1,Personal Auto,Sports Car,697.27,central ,Web,Medsize
Nevada,M,Doctor,"œ5,585.31",0,80,1/0,Corporate Auto,Four-Door Car,6.28,central ,Branch,Medsize
California,F,Doctor,"œ8,639.50",92374,107,1/1,Personal Auto,SUV,220.02,west ,Call Center,Medsize
California,M,High School or Below,"œ5,281.83",39658,66,1/0,Corporate Auto,Four-Door Car,316.80,west ,Agent,Small
Oregon,F,Bachelor,"œ8,385.25",0,116,1/0,Personal Auto,Sports Car,556.80,north,Agent,Small
Arizona,M,Bachelor,"œ4,633.10",0,70,1/0,Personal Auto,Two-Door Car,336.00,central ,Agent,Medsize
California,F,High School or Below,"œ2,480.39",0,65,1/0,Personal Auto,Four-Door Car,328.31,west ,Web,Medsize
Arizona,M,High School or Below,"œ3,618.69",50755,91,1/0,Personal Auto,Two-Door Car,436.80,central ,Agent,Small
Washington,F,College,"œ5,375.84",69050,67,1/0,Personal Auto,Four-Door Car,334.89,east,Agent,Medsize
Oregon,M,Bachelor,"œ4,893.29",0,73,1/0,Corporate Auto,Four-Door Car,680.05,north,Web,Medsize
California,M,High School or Below,"œ10,737.68",50607,137,1/0,Personal Auto,SUV,657.60,west ,Branch,Medsize
Washington,F,College,"œ2,607.82",0,70,1/1,Special Auto,Two-Door Car,336.00,east,Branch,Large
Nevada,F,Bachelor,"œ15,725.25",0,149,1/0,Corporate Auto,SUV,1072.80,central ,Web,Medsize
Nevada,M,College,"œ9,553.42",0,146,1/0,Corporate Auto,SUV,1051.20,central ,Branch,Medsize
Oregon,M,College,"œ7,507.46",60920,64,1/0,Personal Auto,Two-Door Car,231.20,north,Agent,Medsize
California,F,Bachelor,"œ7,324.93",0,105,1/0,Special Auto,Two-Door Car,504.00,west ,Branch,Medsize
Oregon,M,High School or Below,"œ5,333.04",55674,66,1/0,Personal Auto,Four-Door Car,81.71,north,Branch,Medsize
California,M,College,"œ12,767.23",0,189,1/0,Corporate Auto,Luxury Car,2201.33,west ,Branch,Small
Washington,M,Bachelor,"œ2,659.34",24495,70,1/0,Personal Auto,Four-Door Car,336.00,east,Branch,Small
Oregon,F,College,"œ3,483.63",42983,86,1/0,Personal Auto,Four-Door Car,412.80,north,Agent,Small
Arizona,M,College,"œ4,636.55",26802,66,1/1,Special Auto,Two-Door Car,316.80,central ,Agent,Medsize
California,M,Doctor,"œ17,530.04",0,97,1/0,Corporate Auto,Four-Door Car,469.23,west ,Agent,Small
Oregon,M,High School or Below,"œ6,978.72",53808,88,1/0,Personal Auto,Four-Door Car,189.84,north,Branch,Medsize
Arizona,F,College,"œ2,912.25",93403,73,1/0,Personal Auto,Four-Door Car,295.22,central ,Branch,Medsize
Oregon,F,Bachelor,"œ4,209.28",26435,111,1/1,Corporate Auto,Four-Door Car,1012.25,north,Call Center,Medsize
Oregon,F,Bachelor,"œ5,009.81",0,68,1/0,Personal Auto,Four-Door Car,326.40,north,Branch,Medsize
California,F,Bachelor,"œ5,217.51",39854,66,1/0,Personal Auto,Two-Door Car,261.93,west ,Call Center,Medsize
Oregon,M,College,"œ11,490.34",0,161,1/0,Personal Auto,SUV,1052.93,north,Branch,Medsize
Nevada,F,Master,"œ2,864.54",91368,71,1/0,Personal Auto,Four-Door Car,395.33,central ,Branch,Medsize
Arizona,M,Bachelor,"œ8,403.91",0,115,1/0,Personal Auto,SUV,552.00,central ,Agent,Medsize
California,F,College,"œ20,395.97",92850,104,1/1,Personal Auto,Four-Door Car,499.20,west ,Branch,Small
Washington,F,Bachelors,"œ5,292.63",0,70,1/0,Personal Auto,Two-Door Car,336.00,east,Web,Small
Arizona,M,Bachelor,"œ16,727.77",30915,72,2/1,Personal Auto,Four-Door Car,345.60,central ,Agent,Medsize
Arizona,F,Master,"œ5,801.13",48927,72,1/0,Personal Auto,Four-Door Car,139.35,central ,Branch,Small
Oregon,F,Bachelor,"œ9,472.97",0,86,1/0,Personal Auto,Four-Door Car,412.80,north,Agent,Medsize
Arizona,F,College,"œ10,484.92",61108,89,1/0,Personal Auto,Four-Door Car,49.45,central ,Call Center,Small
Nevada,M,Master,"œ4,387.31",48015,110,1/0,Corporate Auto,Sports Car,528.00,central ,Agent,Small
Arizona,M,College,"œ4,522.88",0,61,1/0,Personal Auto,Four-Door Car,292.80,central ,Web,Small
Nevada,F,College,"œ5,418.15",57587,68,1/0,Personal Auto,Four-Door Car,257.09,central ,Agent,Medsize
Washington,M,Master,,0,70,1/0/00,Personal Auto,Four-Door Car,336,east,Call Center,Small
Arizona,F,College,"œ15,785.30",81119,196,1/0,Corporate Auto,SUV,940.80,central ,Branch,Small
California,F,Bachelor,"œ22,110.40",65724,70,1/0,Personal Auto,Four-Door Car,14.52,west ,Branch,Medsize
Washington,M,High School or Below,"œ13,596.20",20128,70,2/1,Personal Auto,Four-Door Car,336.00,east,Agent,Large
Oregon,M,High School or Below,"œ4,756.13",56146,119,1/0,Corporate Auto,Four-Door Car,401.79,north,Web,Medsize
California,M,Bachelor,"œ2,447.05",84658,62,1/0,Personal Auto,Four-Door Car,44.78,west ,Agent,Medsize
Nevada,F,College,"œ5,675.92",33257,72,1/1,Personal Auto,Four-Door Car,345.60,central ,Web,Medsize
Washington,F,College,"œ7,399.03",0,101,1/0,Personal Auto,SUV,337.62,east,Call Center,Medsize
Oregon,M,College,"œ7,308.43",31115,92,1/0,Personal Auto,Four-Door Car,441.60,north,Agent,Medsize
Oregon,F,College,"œ32,871.75",78487,117,1/0,Personal Auto,SUV,448.26,north,Agent,Medsize
Oregon,M,Bachelor,"œ5,228.92",92472,65,1/0,Corporate Auto,Four-Door Car,240.22,north,Agent,Medsize
Arizona,M,High School or Below,"œ20,700.86",0,64,1/0,Personal Auto,Four-Door Car,460.80,central ,Agent,Large
Washington,M,Master,"œ6,333.03",71737,79,1/0,Personal Auto,Two-Door Car,338.80,east,Branch,Medsize
California,M,College,"œ4,330.39",60475,107,1/0,Personal Auto,Four-Door Car,513.60,west ,Call Center,Large
Arizona,F,Bachelor,"œ6,292.74",26577,79,1/0,Personal Auto,Four-Door Car,73.72,central ,Web,Large
Arizona,M,High School or Below,"œ4,917.89",0,71,1/0,Personal Auto,Two-Door Car,511.20,central ,Agent,Large
California,M,High School or Below,"œ5,165.81",43461,64,1/0,Personal Auto,Two-Door Car,307.20,west ,Agent,Medsize
Oregon,M,High School or Below,"œ6,291.59",0,94,1/0,Personal Auto,Two-Door Car,676.80,north,Agent,Medsize
Oregon,F,Master,"œ4,582.67",69085,113,1/0,Corporate Auto,Sports Car,472.27,north,Agent,Medsize
California,M,High School or Below,"œ6,062.44",0,84,1/0,Personal Auto,Four-Door Car,604.80,west ,Call Center,Medsize
Washington,M,High School or Below,"œ4,979.08",0,71,1/0,Personal Auto,Two-Door Car,340.80,east,Agent,Large
California,F,College,"œ5,830.56",0,77,1/0,Corporate Auto,Four-Door Car,783.43,west ,Call Center,Small
California,M,High School or Below,"œ3,742.58",0,110,1/1,Personal Auto,Sports Car,1272.55,west ,Branch,Medsize
Oregon,F,High School or Below,"œ3,849.60",0,106,1/0,Personal Auto,Sports Car,763.20,north,Web,Medsize
Arizona,F,High School or Below,"œ15,265.81",58361,95,1/0,Personal Auto,Four-Door Car,43.60,central ,Call Center,Small
Arizona,M,College,"œ5,317.81",74092,67,1/0,Personal Auto,Four-Door Car,321.60,central ,Agent,Medsize
California,F,College,"œ2,374.81",0,64,1/0,Corporate Auto,Four-Door Car,380.82,west ,Agent,Large
Washington,M,College,"œ5,532.86",59768,71,1/1,Personal Auto,Four-Door Car,340.80,east,Agent,Medsize
Washington,M,Master,"œ5,719.79",54585,7575,1/1,Personal Auto,Two-Door Car,340.80,east,Call Center,Medsize
Oregon,F,High School or Below,"œ4,512.20",0,125,1/0,Corporate Auto,SUV,900.00,north,Call Center,Medsize
California,F,Bachelor,"œ7,264.80",12075,94,1/0,Personal Auto,Four-Door Car,451.20,west ,Web,Medsize
California,M,College,"œ8,658.86",62464,109,1/0,Personal Auto,Sports Car,400.18,west ,Agent,Small
Oregon,M,College,"œ5,498.94",22520,73,1/0,Personal Auto,Four-Door Car,350.40,north,Web,Medsize
Arizona,F,High School or Below,"œ5,599.38",35012,72,1/0,Personal Auto,Four-Door Car,345.60,central ,Call Center,Medsize
Arizona,F,College,"œ15,228.20",95140,126,1/0,Personal Auto,Sports Car,45.05,central ,Call Center,Small
Nevada,F,High School or Below,"œ3,644.83",82477,90,1/0,Corporate Auto,Two-Door Car,432.00,central ,Call Center,Small
California,M,Master,"œ3,693.44",85871,92,1/1,Personal Auto,Four-Door Car,112.63,west ,Branch,Small
Washington,F,High School or Below,"œ9,388.16",75264,78,1/0,Personal Auto,Four-Door Car,343.34,east,Agent,Medsize
Washington,M,High School or Below,"œ31,162.69",83170,97,1/0,Personal Auto,Four-Door Car,344.12,east,Agent,Medsize
California,M,High School or Below,"œ9,283.74",24314,235,1/0,Personal Auto,Luxury SUV,1128.00,west ,Web,Medsize
Oregon,M,Master,"œ2,551.23",79751,63,1/0,Corporate Auto,Two-Door Car,392.24,north,Agent,Medsize
Nevada,M,High School or Below,"œ5,811.92",83318,72,1/0,Corporate Auto,Four-Door Car,345.60,central ,Branch,Large
Oregon,F,Master,"œ4,064.67",26161,109,1/0,Personal Auto,Sports Car,594.44,north,Call Center,Medsize
California,F,Bachelor,"œ2,841.44",30473,72,1/0,Corporate Auto,Four-Door Car,450.08,west ,Web,Large
Nevada,M,College,"œ6,832.13",50472,87,1/0,Corporate Auto,Four-Door Car,281.16,central ,Agent,Medsize
Nevada,M,Master,"œ5,201.97",94186,64,1/0,Personal Auto,Four-Door Car,135.34,central ,Web,Small
Arizona,M,High School or Below,"œ5,484.59",47611,69,1/0,Corporate Auto,Four-Door Car,593.65,central ,Web,Medsize
California,M,High School or Below,"œ7,672.68",0,103,1/0,Personal Auto,Four-Door Car,518.72,west ,Branch,Small
Oregon,M,High School or Below,"œ8,272.49",91245,69,1/0,Corporate Auto,Four-Door Car,19.25,north,Agent,Medsize
Arizona,F,High School or Below,"œ3,330.67",45944,83,1/0,Personal Auto,Two-Door Car,182.95,central ,Agent,Medsize
California,F,College,"œ5,562.46",59649,69,1/1,Personal Auto,Four-Door Car,167.74,west ,Branch,Medsize
Oregon,F,Bachelor,"œ2,452.74",52785,61,1/0,Corporate Auto,Two-Door Car,45.72,north,Branch,Medsize
Oregon,F,High School or Below,"œ7,920.28",59648,66,1/0,Personal Auto,Four-Door Car,316.80,north,Agent,Medsize
Oregon,F,College,"œ3,861.49",93272,95,1/0,Corporate Auto,Four-Door Car,281.11,north,Agent,Medsize
Arizona,M,Bachelor,"œ5,764.78",22134,72,1/0,Corporate Auto,Four-Door Car,445.88,central ,Branch,Large
Washington,F,High School or Below,"œ2,593.90",0,72,1/0,Personal Auto,Four-Door Car,345.60,east,Branch,Medsize
Arizona,M,Master,"œ2,882.35",87798,71,1/0,Personal Auto,Two-Door Car,204.45,central ,Call Center,Large
California,M,Bachelor,"œ2,213.19",0,63,1/0,Personal Auto,Four-Door Car,305.55,west ,Branch,Small
California,F,Master,"œ9,429.63",43811,117,1/0,Personal Auto,Sports Car,571.14,west ,Call Center,Medsize
California,F,College,"œ6,239.26",0,91,1/0,Corporate Auto,Two-Door Car,655.20,west ,Branch,Small
Nevada,F,Bachelor,"œ7,668.81",92456,95,1/0,Special Auto,Four-Door Car,456.00,central ,Agent,Medsize
California,F,High School or Below,"œ13,770.98",59207,116,1/0,Personal Auto,Four-Door Car,556.80,west ,Branch,Small
California,F,High School or Below,"œ2,742.84",64519,69,1/1,Corporate Auto,Four-Door Car,331.20,west ,Agent,Medsize
Oregon,F,High School or Below,"œ13,466.92",11432,119,1/0,Personal Auto,SUV,571.20,north,Web,Medsize
Nevada,F,College,"œ8,858.35",0,80,1/0,Personal Auto,Two-Door Car,81.26,central ,Call Center,Medsize
California,M,High School or Below,"œ8,485.33",32607,111,1/1,Corporate Auto,SUV,532.80,west ,Call Center,Medsize
Arizona,F,High School or Below,"œ7,744.64",26444,196,1/0,Personal Auto,Luxury Car,940.80,central ,Call Center,Medsize
Oregon,F,High School or Below,"œ5,894.91",39381,74,1/1,Personal Auto,Four-Door Car,355.20,north,Branch,Medsize
Nevada,M,College,"œ5,770.68",0,83,1/0,Personal Auto,Four-Door Car,946.35,central ,Branch,Medsize
Oregon,M,High School or Below,"œ5,261.12",90217,66,1/1,Personal Auto,Four-Door Car,316.80,north,Web,Small
Oregon,M,High School or Below,"œ2,403.54",24248,70,3/1,Personal Auto,Four-Door Car,336.00,north,Branch,Medsize
Arizona,M,Bachelor,"œ9,124.60",99368,113,1/0,Personal Auto,Four-Door Car,82.43,central ,Agent,Medsize
Arizona,F,High School or Below,"œ26,180.81",68189,82,1/1,Special Auto,Four-Door Car,343.12,central ,Call Center,Large
Nevada,F,Master,"œ15,641.26",32370,130,1/0,Corporate Auto,SUV,487.74,central ,Agent,Medsize
Arizona,F,Master,"œ2,574.02",34990,65,1/0,Personal Auto,Four-Door Car,42.69,central ,Branch,Small
California,F,High School or Below,"œ5,319.84",25714,67,1/0,Personal Auto,Two-Door Car,321.60,west ,Call Center,Medsize
Oregon,M,College,"œ7,496.01",61091,95,1/0,Personal Auto,Two-Door Car,409.87,north,Call Center,Medsize
Arizona,M,College,"œ12,174.59",88184,104,3/1,Personal Auto,Four-Door Car,240.18,central ,Branch,Medsize
California,F,College,"œ2,605.57",60252,65,1/0,Personal Auto,Four-Door Car,182.44,west ,Call Center,Medsize
Oregon,M,College,"œ2,707.21",80985,67,1/0,Personal Auto,Four-Door Car,124.93,north,Branch,Medsize
Washington,F,College,"œ2,794.91",39783,72,1/0,Personal Auto,Two-Door Car,345.60,east,Branch,Small
California,M,High School or Below,"œ8,819.02",99845,110,1/1,Personal Auto,SUV,528.00,west ,Agent,Medsize
Washington,F,Bachelors,"œ5,345.99",0,72,1/0,Personal Auto,Four-Door Car,345.60,east,Agent,Large
Oregon,F,College,"œ8,169.51",40803,71,3/1,Personal Auto,Four-Door Car,122.91,north,Branch,Medsize
Oregon,F,College,"œ7,708.88",71134,98,3/1,Personal Auto,Two-Door Car,196.37,north,Agent,Small
Arizona,M,Bachelor,"œ5,528.21",36088,72,1/0,Personal Auto,Four-Door Car,345.60,central ,Agent,Medsize
Nevada,M,College,"œ12,128.45",29431,103,1/0,Personal Auto,SUV,237.90,central ,Agent,Medsize
Washington,M,Bachelors,"œ5,528.21",36088,72,1/0,Personal Auto,Four-Door Car,345.60,east,Web,Medsize
Oregon,M,College,"œ6,796.84",17937,65,1/0,Personal Auto,Two-Door Car,312.00,north,Agent,Medsize
Arizona,F,Bachelor,"œ2,867.31",23376,78,1/0,Personal Auto,Four-Door Car,374.40,central ,Branch,Small
California,F,Doctor,"œ2,395.57",21986,63,1/0,Personal Auto,Two-Door Car,333.70,west ,Web,Medsize
Arizona,F,Bachelor,"œ7,094.17",23032,89,1/0,Corporate Auto,Four-Door Car,427.20,central ,Agent,Medsize
Oregon,F,College,"œ4,128.09",32114,104,1/0,Corporate Auto,SUV,445.29,north,Branch,Medsize
California,M,Bachelor,"œ4,046.94",13330,117,1/0,Corporate Auto,SUV,561.60,west ,Branch,Small
California,F,College,"œ4,869.28",44934,61,1/0,Personal Auto,Four-Door Car,357.93,west ,Agent,Medsize
Oregon,F,College,"œ2,902.15",96137,73,2/1,Corporate Auto,Two-Door Car,67.49,north,Agent,Small
Oregon,F,College,"œ4,282.95",40864,109,1/1,Personal Auto,SUV,166.94,north,Agent,Medsize
California,F,College,"œ7,750.12",22668,67,1/1,Personal Auto,Four-Door Car,33.72,west ,Branch,Medsize
Oregon,M,College,"œ6,627.17",90751,82,1/1,Personal Auto,Two-Door Car,315.83,north,Call Center,Medsize
Oregon,M,College,"œ7,474.61",44186,64,2/1,Personal Auto,Four-Door Car,295.05,north,Agent,Medsize
Oregon,M,College,"œ5,561.29",92678,70,1/0,Personal Auto,Four-Door Car,34.69,north,Branch,Medsize
Arizona,F,Bachelor,"œ6,098.46",74257,76,1/0,Personal Auto,Four-Door Car,214.59,central ,Branch,Medsize
California,M,Bachelor,"œ2,859.53",99981,71,1/0,Special Auto,Four-Door Car,204.87,west ,Agent,Medsize
Arizona,M,College,"œ5,994.42",0,91,1/0,Personal Auto,Four-Door Car,655.20,central ,Call Center,Medsize
Arizona,F,College,"œ5,635.25",19591,74,1/0,Personal Auto,Two-Door Car,95.93,central ,Agent,Medsize
California,F,College,"œ5,067.21",29095,127,1/0,Personal Auto,SUV,664.28,west ,Agent,Medsize
Oregon,F,Bachelor,"œ2,263.28",0,62,1/0,Corporate Auto,Four-Door Car,389.75,north,Agent,Medsize
Arizona,M,Master,"œ14,435.67",60880,119,1/0,Corporate Auto,Two-Door Car,109.91,central ,Web,Small
Arizona,F,Bachelor,"œ4,928.40",61785,61,1/0,Personal Auto,Two-Door Car,271.11,central ,Web,Large
Oregon,M,Bachelor,"œ12,036.62",44428,104,1/0,Special Auto,SUV,499.20,north,Agent,Medsize
California,M,High School or Below,"œ8,564.77",95697,107,1/0,Personal Auto,Sports Car,178.01,west ,Web,Medsize
California,F,Bachelor,"œ2,361.88",18064,63,2/1,Personal Auto,Four-Door Car,182.96,west ,Agent,Medsize
California,M,High School or Below,"œ5,565.69",74720,70,1/0,Personal Auto,Two-Door Car,200.81,west ,Agent,Medsize
California,F,Bachelor,"œ5,146.81",22594,67,1/0,Personal Auto,Four-Door Car,321.60,west ,Branch,Medsize
Arizona,F,Bachelor,"œ2,938.08",40987,73,1/0,Personal Auto,Four-Door Car,329.01,central ,Branch,Medsize
Nevada,M,High School or Below,"œ14,432.75",24561,126,1/0,Personal Auto,SUV,853.47,central ,Agent,Medsize
California,F,College,"œ13,027.42",76456,83,1/1,Personal Auto,Four-Door Car,42.69,west ,Web,Medsize
California,M,College,"œ2,451.99",65828,62,1/0,Personal Auto,Four-Door Car,297.60,west ,Agent,Medsize
Oregon,F,College,"œ4,661.98",0,68,1/1,Personal Auto,Four-Door Car,489.60,north,Web,Medsize
Arizona,F,Bachelor,"œ5,600.01",63621,70,1/0,Personal Auto,Four-Door Car,444.62,central ,Agent,Medsize
Arizona,M,College,"œ4,016.13",10074,107,1/0,Corporate Auto,SUV,109.00,central ,Agent,Medsize
Oregon,F,College,"œ22,195.80",78965,183,1/0,Personal Auto,Luxury Car,145.59,north,Web,Medsize
Nevada,F,College,"œ7,343.35",0,68,1/0,Personal Auto,Four-Door Car,479.03,central ,Branch,Small
Arizona,M,Bachelor,"œ4,804.51",23604,64,1/0,Corporate Auto,Two-Door Car,460.80,central ,Web,Large
Oregon,F,College,"œ2,735.54",99205,68,1/0,Personal Auto,Two-Door Car,323.25,north,Agent,Large
Arizona,M,College,"œ6,940.97",0,92,1/0,Personal Auto,Two-Door Car,441.60,central ,Agent,Large
California,F,Bachelor,"œ2,396.22",0,66,2/1,Corporate Auto,Four-Door Car,433.16,west ,Call Center,Medsize
Nevada,F,College,"œ5,380.90",55350,67,1/0,Personal Auto,Four-Door Car,321.60,central ,Agent,Medsize
Oregon,M,College,"œ8,432.82",21052,111,1/0,Corporate Auto,SUV,453.58,north,Agent,Medsize
Oregon,F,High School or Below,"œ7,556.51",0,69,1/0,Personal Auto,Four-Door Car,496.80,north,Branch,Medsize
Arizona,M,High School or Below,"œ7,787.43",24664,69,1/0,Corporate Auto,Four-Door Car,496.80,central ,Agent,Medsize
Nevada,M,College,"œ4,787.81",45225,124,1/0,Corporate Auto,Sports Car,209.18,central ,Agent,Medsize
California,M,College,"œ9,707.65",30430,86,1/0,Special Auto,Four-Door Car,425.66,west ,Branch,Medsize
California,F,Bachelor,"œ2,552.23",35149,64,1/0,Personal Auto,Two-Door Car,120.48,west ,Web,Medsize
California,M,Bachelor,"œ5,223.43",16513,71,1/0,Personal Auto,Four-Door Car,340.80,west ,Branch,Small
Nevada,M,High School or Below,"œ5,010.45",10892,66,1/0,Personal Auto,Four-Door Car,316.80,central ,Web,Medsize
Washington,M,High School or Below,"œ5,608.32",67176,72,1/0,Personal Auto,Four-Door Car,345.60,east,Agent,Medsize
Oregon,M,College,"œ4,457.94",54704,113,1/0,Personal Auto,SUV,468.18,north,Agent,Medsize
Oregon,M,Doctor,"œ8,200.79",25381,71,1/0,Personal Auto,Four-Door Car,340.80,north,Branch,Medsize
Oregon,F,High School or Below,"œ2,746.08",0,74,1/0,Personal Auto,Four-Door Car,355.20,north,Agent,Medsize
Oregon,F,Bachelor,"œ10,215.78",18150,67,1/0,Corporate Auto,Four-Door Car,220.30,north,Branch,Medsize
California,M,Bachelor,"œ2,453.57",29735,69,1/0,Personal Auto,Four-Door Car,331.20,west ,Agent,Medsize
Nevada,F,College,"œ5,872.96",77156,73,1/0,Personal Auto,Four-Door Car,445.82,central ,Branch,Small
Oregon,F,College,"œ3,118.93",88782,78,1/0,Personal Auto,Four-Door Car,357.76,north,Agent,Medsize
California,F,College,"œ5,568.66",51489,139,1/0,Personal Auto,SUV,236.74,west ,Web,Medsize
California,F,Bachelor,"œ9,029.71",16972,125,1/0,Personal Auto,SUV,600.00,west ,Agent,Medsize
California,M,Bachelor,"œ7,591.83",99359,95,1/0,Personal Auto,Two-Door Car,233.27,west ,Web,Small
Arizona,M,College,"œ2,255.31",58289,62,4/1,Personal Auto,Two-Door Car,297.60,central ,Call Center,Medsize
Oregon,F,Doctor,"œ32,613.69",45173,268,1/0,Personal Auto,Luxury Car,1286.40,north,Agent,Medsize
California,F,Bachelor,"œ9,445.65",93246,78,1/0,Personal Auto,Two-Door Car,41.63,west ,Branch,Small
Arizona,M,High School or Below,"œ6,803.60",43758,171,1/0,Corporate Auto,SUV,1129.93,central ,Agent,Small
Oregon,M,Bachelor,"œ9,766.22",75651,81,1/0,Personal Auto,Four-Door Car,375.11,north,Agent,Medsize
Arizona,F,Doctor,"œ7,294.85",0,67,1/0,Personal Auto,Four-Door Car,321.60,central ,Agent,Medsize
Oregon,F,Doctor,"œ5,682.52",36938,70,1/0,Special Auto,Four-Door Car,244.80,north,Branch,Large
California,M,Bachelor,"œ6,332.94",50843,82,1/0,Personal Auto,Two-Door Car,393.60,west ,Call Center,Medsize
California,F,Bachelor,"œ4,916.58",21907,62,1/0,Personal Auto,Four-Door Car,2.96,west ,Call Center,Medsize
California,F,Bachelor,"œ4,798.24",77846,119,1/0,Personal Auto,Sports Car,342.47,west ,Agent,Medsize
Washington,M,Bachelor,"œ5,643.80",41043,72,1/0,Personal Auto,Four-Door Car,345.60,east,Branch,Large
Arizona,F,High School or Below,"œ9,247.46",97030,76,1/0,Corporate Auto,Four-Door Car,416.64,central ,Call Center,Small
Oregon,M,High School or Below,"œ7,322.93",80864,182,1/0,Personal Auto,Luxury SUV,618.21,north,Call Center,Medsize
Nevada,F,College,"œ8,275.90",48197,106,1/0,Personal Auto,Four-Door Car,508.80,central ,Agent,Medsize
California,M,Doctor,"œ5,635.40",70837,73,4/1,Personal Auto,Four-Door Car,362.74,west ,Branch,Medsize
Arizona,M,High School or Below,"œ14,970.29",85297,93,1/0,Special Auto,Two-Door Car,620.01,central ,Agent,Medsize
Oregon,F,Master,"œ9,336.34",70177,115,1/0,Personal Auto,Four-Door Car,225.52,north,Branch,Medsize
Nevada,M,College,"œ48,356.96",52499,138,1/0,Personal Auto,SUV,1171.54,central ,Web,Medsize
Oregon,M,College,"œ5,686.92",63143,71,1/0,Corporate Auto,Four-Door Car,340.80,north,Agent,Medsize
